Jahr,Runde,ID Proband,Ebene ,Treppe,Zeit in sec,Bemerkung
,,,,,,
2017,1,12017,x,,17.65,
2017,1,22017,x,,17.37,
2017,1,32017,x,,17.88,
2017,1,42017,x,,15.81,
2017,1,52017,x,,15.97,
2017,1,62017,x,,18.84,
2017,1,72017,x,,22.85,getrödelt
2017,1,82017,x,,17.47,
2017,1,92017,x,,18.76,
2017,1,102017,x,,22.08,
2017,1,112017,x,,18.25,
2017,1,122017,x,,17.50,
2017,1,132017,x,,21.25,
2017,1,142017,x,,16.32,
2017,1,152017,x,,18.24,
2017,1,162017,x,,19.71,
2017,1,172017,x,,19.82,
2017,1,182017,x,,16.25,
2017,1,192017,x,,19.81,
2017,1,202017,x,,18.96,
2017,1,212017,x,,17.00,
2017,1,222017,x,,19.00,
2017,2,12017,x,,17.53,
2017,2,22017,x,,16.34,
2017,2,32017,x,,16.90,
2017,2,42017,x,,15.62,
2017,2,52017,x,,16.15,
2017,2,62017,x,,19.00,
2017,2,72017,x,,22.97,getrödelt
2017,2,82017,x,,18.29,
2017,2,92017,x,,21.13,
2017,2,102017,x,,22.45,
2017,2,112017,x,,18.66,
2017,2,122017,x,,18.34,
2017,2,132017,x,,20.32,
2017,2,142017,x,,16.66,
2017,2,152017,x,,18.59,
2017,2,162017,x,,20.03,
2017,2,172017,x,,19.56,
2017,2,182017,x,,16.69,
2017,2,192017,x,,18.91,
2017,2,202017,x,,19.59,
2017,2,212017,x,,16.97,
2017,2,222017,x,,18.72,
2017,3,12017,x,,17.00,
2017,3,22017,x,,16.72,
2017,3,32017,x,,17.09,
2017,3,42017,x,,16.62,
2017,3,52017,x,,16.94,
2017,3,62017,x,,18.47,
2017,3,72017,x,,23.82,getrödelt
2017,3,82017,x,,18.95,
2017,3,92017,x,,19.65,
2017,3,102017,x,,22.50,
2017,3,112017,x,,19.85,
2017,3,122017,x,,18.13,
2017,3,132017,x,,19.31,
2017,3,142017,x,,17.41,
2017,3,152017,x,,19.54,
2017,3,162017,x,,20.18,
2017,3,172017,x,,18.71,
2017,3,182017,x,,16.94,
2017,3,192017,x,,18.25,
2017,3,202017,x,,20.00,
2017,3,212017,x,,16.37,
2017,3,222017,x,,20.09,
2017,1,12017,,auf,10.38,
2017,1,22017,,auf,10.00,
2017,1,32017,,auf,10.68,
2017,1,42017,,auf,10.41,
2017,1,52017,,auf,11.10,
2017,1,62017,,auf,11.34,
2017,1,72017,,auf,12.15,
2017,1,82017,,auf,11.83,
2017,1,92017,,auf,12.22,
2017,1,102017,,auf,9.23,gerannt; Stufen übersprungen
2017,1,112017,,auf,7.18,gerannt; Stufen übersprungen
2017,1,122017,,auf,10.72,
2017,1,132017,,auf,13.00,
2017,1,142017,,auf,8.78,gerannt; Stufen übersprungen
2017,1,152017,,auf,11.94,
2017,1,162017,,auf,13.38,
2017,1,172017,,auf,11.25,
2017,1,182017,,auf,6.75,gerannt; Stufen übersprungen
2017,1,192017,,auf,11.00,
2017,1,202017,,auf,13.35,
2017,1,212017,,auf,11.97,
2017,1,222017,,auf,11.59,
2017,2,12017,,auf,11.00,
2017,2,22017,,auf,9.88,
2017,2,32017,,auf,10.72,
2017,2,42017,,auf,10.44,
2017,2,52017,,auf,10.50,
2017,2,62017,,auf,11.32,
2017,2,72017,,auf,12.38,
2017,2,82017,,auf,12.23,
2017,2,92017,,auf,11.62,
2017,2,102017,,auf,9.68,gerannt; Stufen übersprungen
2017,2,112017,,auf,7.66,gerannt; Stufen übersprungen
2017,2,122017,,auf,12.16,
2017,2,132017,,auf,12.19,
2017,2,142017,,auf,8.53,gerannt; Stufen übersprungen
2017,2,152017,,auf,12.12,
2017,2,162017,,auf,13.28,
2017,2,172017,,auf,11.15,
2017,2,182017,,auf,7.28,gerannt; Stufen übersprungen
2017,2,192017,,auf,11.19,
2017,2,202017,,auf,14.08,
2017,2,212017,,auf,11.50,
2017,2,222017,,auf,12.03,
2017,3,12017,,auf,10.90,
2017,3,22017,,auf,10.22,
2017,3,32017,,auf,10.78,
2017,3,42017,,auf,10.40,
2017,3,52017,,auf,10.60,
2017,3,62017,,auf,11.25,
2017,3,72017,,auf,13.40,
2017,3,82017,,auf,11.55,
2017,3,92017,,auf,11.64,
2017,3,102017,,auf,10.07,gerannt; Stufen übersprungen
2017,3,112017,,auf,7.94,gerannt; Stufen übersprungen
2017,3,122017,,auf,12.94,
2017,3,132017,,auf,11.28,
2017,3,142017,,auf,8.66,gerannt; Stufen übersprungen
2017,3,152017,,auf,11.44,
2017,3,162017,,auf,13.18,
2017,3,172017,,auf,10.56,
2017,3,182017,,auf,7.19,gerannt; Stufen übersprungen
2017,3,192017,,auf,11.22,
2017,3,202017,,auf,13.92,
2017,3,212017,,auf,11.84,
2017,3,222017,,auf,11.57,
2017,1,12017,,ab,6.84,
2017,1,22017,,ab,7.37,
2017,1,32017,,ab,6.22,
2017,1,42017,,ab,9.66,
2017,1,52017,,ab,6.78,
2017,1,62017,,ab,6.82,
2017,1,72017,,ab,8.81,
2017,1,82017,,ab,9.81,
2017,1,92017,,ab,9.23,
2017,1,102017,,ab,11.25,
2017,1,112017,,ab,8.57,
2017,1,122017,,ab,9.97,
2017,1,132017,,ab,8.28,
2017,1,142017,,ab,6.78,
2017,1,152017,,ab,7.28,
2017,1,162017,,ab,8.47,
2017,1,172017,,ab,7.87,
2017,1,182017,,ab,8.60,
2017,1,192017,,ab,8.00,
2017,1,202017,,ab,10.14,
2017,1,212017,,ab,8.47,
2017,1,222017,,ab,10.00,
2017,2,12017,,ab,6.87,
2017,2,22017,,ab,7.37,
2017,2,32017,,ab,7.03,
2017,2,42017,,ab,8.65,
2017,2,52017,,ab,7.22,
2017,2,62017,,ab,6.90,
2017,2,72017,,ab,7.63,
2017,2,82017,,ab,10.42,
2017,2,92017,,ab,9.10,
2017,2,102017,,ab,11.65,
2017,2,112017,,ab,8.81,
2017,2,122017,,ab,9.94,
2017,2,132017,,ab,6.25,Spät gestoppt
2017,2,142017,,ab,6.72,
2017,2,152017,,ab,7.38,
2017,2,162017,,ab,8.56,
2017,2,172017,,ab,7.59,
2017,2,182017,,ab,7.75,
2017,2,192017,,ab,8.03,
2017,2,202017,,ab,11.71,
2017,2,212017,,ab,8.75,
2017,2,222017,,ab,10.16,Zeit nicht resetet
2017,3,12017,,ab,7.03,
2017,3,22017,,ab,7.44,
2017,3,32017,,ab,6.78,
2017,3,42017,,ab,9.37,
2017,3,52017,,ab,7.09,
2017,3,62017,,ab,7.31,
2017,3,72017,,ab,7.93,
2017,3,82017,,ab,9.05,
2017,3,92017,,ab,9.52,
2017,3,102017,,ab,11.90,
2017,3,112017,,ab,8.22,
2017,3,122017,,ab,9.38,
2017,3,132017,,ab,7.75,
2017,3,142017,,ab,6.78,
2017,3,152017,,ab,7.16,
2017,3,162017,,ab,8.87,
2017,3,172017,,ab,7.82,
2017,3,182017,,ab,8.34,Letzte Stufe übersprungen
2017,3,192017,,ab,8.19,
2017,3,202017,,ab,11.25,Messfehler
2017,3,212017,,ab,7.41,
2017,3,222017,,ab,10.41,
2012,1,12012,x,,20,
2012,1,22012,x,,18.3,
2012,1,32012,x,,12.38,
2012,1,42012,x,,18.8,
2012,1,52012,x,,16.24,
2012,1,62012,x,,16.43,
2012,1,72012,x,,19.5,
2012,1,82012,x,,16.1,
2012,1,92012,x,,18,
2012,1,102012,x,,17.13,
2012,1,112012,x,,18.92,
2012,1,122012,x,,17.84,
2012,1,132012,x,,16.81,
2012,2,12012,x,,20.31,
2012,2,22012,x,,18.4,
2012,2,32012,x,,13.05,
2012,2,42012,x,,19.4,
2012,2,52012,x,,17.27,
2012,2,62012,x,,17.09,
2012,2,72012,x,,19.6,
2012,2,82012,x,,16.5,
2012,2,92012,x,,19.28,
2012,2,102012,x,,16.44,
2012,2,112012,x,,19.13,
2012,2,122012,x,,18.31,
2012,2,132012,x,,16.34,
2012,3,12012,x,,20.91,
2012,3,22012,x,,20.3,
2012,3,32012,x,,12.13,
2012,3,42012,x,,19.3,
2012,3,52012,x,,16.1,
2012,3,62012,x,,16.41,
2012,3,72012,x,,19.6,
2012,3,82012,x,,16.7,
2012,3,92012,x,,18.64,
2012,3,102012,x,,16.53,
2012,3,112012,x,,17.81,
2012,3,122012,x,,17.72,
2012,3,132012,x,,16.4,
2012,1,12012,,auf,12.34,
2012,1,22012,,auf,12.1,
2012,1,32012,,auf,3.44,gerannt; Stufen übersprungen
2012,1,42012,,auf,12.3,
2012,1,52012,,auf,11.94,
2012,1,62012,,auf,11.5,
2012,1,72012,,auf,13.2,
2012,1,82012,,auf,11.3,
2012,1,92012,,auf,12.58,
2012,1,102012,,auf,12.38,
2012,1,112012,,auf,13.32,
2012,1,122012,,auf,11.59,
2012,1,132012,,auf,11.87,
2012,2,12012,,auf,12.19,
2012,2,22012,,auf,12.9,
2012,2,32012,,auf,3.59,gerannt; Stufen übersprungen
2012,2,42012,,auf,12.9,
2012,2,52012,,auf,11.82,
2012,2,62012,,auf,11.47,
2012,2,72012,,auf,13,
2012,2,82012,,auf,10.9,
2012,2,92012,,auf,13,
2012,2,102012,,auf,12.47,
2012,2,112012,,auf,13.28,
2012,2,122012,,auf,12.53,
2012,2,132012,,auf,12.1,
2012,3,12012,,auf,12.18,
2012,3,22012,,auf,12.2,
2012,3,32012,,auf,4.12,gerannt; Stufen übersprungen
2012,3,42012,,auf,13.2,
2012,3,52012,,auf,13.74,
2012,3,62012,,auf,11.66,
2012,3,72012,,auf,12.9,
2012,3,82012,,auf,11.1,
2012,3,92012,,auf,13.06,
2012,3,102012,,auf,12.78,
2012,3,112012,,auf,13.44,
2012,3,122012,,auf,11.09,
2012,3,132012,,auf,12.25,
2012,1,12012,,ab,10.38,
2012,1,22012,,ab,10.4,
2012,1,32012,,ab,4.5,gerannt; Stufen übersprungen
2012,1,42012,,ab,11.8,
2012,1,52012,,ab,11.37,
2012,1,62012,,ab,10.44,
2012,1,72012,,ab,10.5,
2012,1,82012,,ab,10.5,
2012,1,92012,,ab,11.87,
2012,1,102012,,ab,12.34,
2012,1,112012,,ab,10.79,
2012,1,122012,,ab,9.78,
2012,1,132012,,ab,10.18,
2012,2,12012,,ab,10.12,
2012,2,22012,,ab,10.6,
2012,2,32012,,ab,5.06,gerannt; Stufen übersprungen
2012,2,42012,,ab,11.9,
2012,2,52012,,ab,11.11,
2012,2,62012,,ab,10.32,
2012,2,72012,,ab,10.7,
2012,2,82012,,ab,10.5,
2012,2,92012,,ab,12.43,
2012,2,102012,,ab,13.1,
2012,2,112012,,ab,10.97,
2012,2,122012,,ab,9.63,
2012,2,132012,,ab,10.5,
2012,3,12012,,ab,10.09,
2012,3,22012,,ab,10.9,
2012,3,32012,,ab,4.19,gerannt; Stufen übersprungen
2012,3,42012,,ab,12,
2012,3,52012,,ab,10.55,
2012,3,62012,,ab,9.97,
2012,3,72012,,ab,10.5,
2012,3,82012,,ab,10.6,
2012,3,92012,,ab,11.87,
2012,3,102012,,ab,11.94,
2012,3,112012,,ab,10.23,
2012,3,122012,,ab,9.6,
2012,3,132012,,ab,10.72,
