Runde;ID Proband;Ebene ;Treppe;Zeit in sec;Bemerkung
;;;;;
1;1;x;;17.65;
1;2;x;;17.37;
1;3;x;;17.88;
1;4;x;;15.81;
1;5;x;;15.97;
1;6;x;;18.84;
1;7;x;;22.85;getrödelt
1;8;x;;17.47;
1;9;x;;18.76;
1;10;x;;22.08;
1;11;x;;18.25;
1;12;x;;17.50;
1;13;x;;21.25;
1;14;x;;16.32;
1;15;x;;18.24;
1;16;x;;19.71;
1;17;x;;19.82;
1;18;x;;16.25;
1;19;x;;19.81;
1;20;x;;18.96;
1;21;x;;17.00;
1;22;x;;19.00;
;;;;;
2;1;x;;17.53;
2;2;x;;16.34;
2;3;x;;16.90;
2;4;x;;15.62;
2;5;x;;16.15;
2;6;x;;19.00;
2;7;x;;22.97;getrödelt
2;8;x;;18.29;
2;9;x;;21.13;
2;10;x;;22.45;
2;11;x;;18.66;
2;12;x;;18.34;
2;13;x;;20.32;
2;14;x;;16.66;
2;15;x;;18.59;
2;16;x;;20.03;
2;17;x;;19.56;
2;18;x;;16.69;
2;19;x;;18.91;
2;20;x;;19.59;
2;21;x;;16.97;
2;22;x;;18.72;
;;;;;
3;1;x;;17.00;
3;2;x;;16.72;
3;3;x;;17.09;
3;4;x;;16.62;
3;5;x;;16.94;
3;6;x;;18.47;
3;7;x;;23.82;getrödelt
3;8;x;;18.95;
3;9;x;;19.65;
3;10;x;;22.50;
3;11;x;;19.85;
3;12;x;;18.13;
3;13;x;;19.31;
3;14;x;;17.41;
3;15;x;;19.54;
3;16;x;;20.18;
3;17;x;;18.71;
3;18;x;;16.94;
3;19;x;;18.25;
3;20;x;;20.00;
3;21;x;;16.37;
3;22;x;;20.09;
;;;;;
1;1;;auf;10.38;
1;2;;auf;10.00;
1;3;;auf;10.68;
1;4;;auf;10.41;
1;5;;auf;11.10;
1;6;;auf;11.34;
1;7;;auf;12.15;
1;8;;auf;11.83;
1;9;;auf;12.22;
1;10;;auf;9.23;"gerannt; Stufen übersprungen"
1;11;;auf;7.18;"gerannt; Stufen übersprungen"
1;12;;auf;10.72;
1;13;;auf;13.00;
1;14;;auf;8.78;"gerannt; Stufen übersprungen"
1;15;;auf;11.94;
1;16;;auf;13.38;
1;17;;auf;11.25;
1;18;;auf;6.75;"gerannt; Stufen übersprungen"
1;19;;auf;11.00;
1;20;;auf;13.35;
1;21;;auf;11.97;
1;22;;auf;11.59;
;;;;;
2;1;;auf;11.00;
2;2;;auf;9.88;
2;3;;auf;10.72;
2;4;;auf;10.44;
2;5;;auf;10.50;
2;6;;auf;11.32;
2;7;;auf;12.38;
2;8;;auf;12.23;
2;9;;auf;11.62;
2;10;;auf;9.68;"gerannt; Stufen übersprungen"
2;11;;auf;7.66;"gerannt; Stufen übersprungen"
2;12;;auf;12.16;
2;13;;auf;12.19;
2;14;;auf;8.53;"gerannt; Stufen übersprungen"
2;15;;auf;12.12;
2;16;;auf;13.28;
2;17;;auf;11.15;
2;18;;auf;7.28;"gerannt; Stufen übersprungen"
2;19;;auf;11.19;
2;20;;auf;14.08;
2;21;;auf;11.50;
2;22;;auf;12.03;
;;;;;
3;1;;auf;10.90;
3;2;;auf;10.22;
3;3;;auf;10.78;
3;4;;auf;10.40;
3;5;;auf;10.60;
3;6;;auf;11.25;
3;7;;auf;13.40;
3;8;;auf;11.55;
3;9;;auf;11.64;
3;10;;auf;10.07;"gerannt; Stufen übersprungen"
3;11;;auf;7.94;"gerannt; Stufen übersprungen"
3;12;;auf;12.94;
3;13;;auf;11.28;
3;14;;auf;8.66;"gerannt; Stufen übersprungen"
3;15;;auf;11.44;
3;16;;auf;13.18;
3;17;;auf;10.56;
3;18;;auf;7.19;"gerannt; Stufen übersprungen"
3;19;;auf;11.22;
3;20;;auf;13.92;
3;21;;auf;11.84;
3;22;;auf;11.57;
;;;;;
1;1;;ab;6.84;
1;2;;ab;7.37;
1;3;;ab;6.22;
1;4;;ab;9.66;
1;5;;ab;6.78;
1;6;;ab;6.82;
1;7;;ab;8.81;
1;8;;ab;9.81;
1;9;;ab;9.23;
1;10;;ab;11.25;
1;11;;ab;8.57;
1;12;;ab;9.97;
1;13;;ab;8.28;
1;14;;ab;6.78;
1;15;;ab;7.28;
1;16;;ab;8.47;
1;17;;ab;7.87;
1;18;;ab;8.60;
1;19;;ab;8.00;
1;20;;ab;10.14;
1;21;;ab;8.47;
1;22;;ab;10.00;
;;;;;
2;1;;ab;6.87;
2;2;;ab;7.37;
2;3;;ab;7.03;
2;4;;ab;8.65;
2;5;;ab;7.22;
2;6;;ab;6.90;
2;7;;ab;7.63;
2;8;;ab;10.42;
2;9;;ab;9.10;
2;10;;ab;11.65;
2;11;;ab;8.81;
2;12;;ab;9.94;
2;13;;ab;6.25;Spät gestoppt
2;14;;ab;6.72;
2;15;;ab;7.38;
2;16;;ab;8.56;
2;17;;ab;7.59;
2;18;;ab;7.75;
2;19;;ab;8.03;
2;20;;ab;11.71;
2;21;;ab;8.75;
2;22;;ab;10.16;Zeit nicht resetet
;;;;;
3;1;;ab;7.03;
3;2;;ab;7.44;
3;3;;ab;6.78;
3;4;;ab;9.37;
3;5;;ab;7.09;
3;6;;ab;7.31;
3;7;;ab;7.93;
3;8;;ab;9.05;
3;9;;ab;9.52;
3;10;;ab;11.90;
3;11;;ab;8.22;
3;12;;ab;9.38;
3;13;;ab;7.75;
3;14;;ab;6.78;
3;15;;ab;7.16;
3;16;;ab;8.87;
3;17;;ab;7.82;
3;18;;ab;8.34;Letzte Stufe übersprungen
3;19;;ab;8.19;
3;20;;ab;11.25;Messfehler
3;21;;ab;7.41;
3;22;;ab;10.41;
