Person,Timestamp,Queuelength
1,0.0,1
1,0.0,0
2,144.71922044835893,1
2,144.71922044835893,0
3,2399.6505379826917,1
3,2399.6505379826917,0
4,2797.2729660654504,1
4,2797.2729660654504,0
5,5279.7359504984515,1
5,5279.7359504984515,0
6,8853.126024239096,1
6,8853.126024239096,0
7,8931.973218113897,1
7,8931.973218113897,0
8,9874.684643711651,1
8,9874.684643711651,0
9,10902.243298157824,1
9,10902.243298157824,0
10,14366.544122344454,1
10,14366.544122344454,0
11,15598.087359739893,1
11,15598.087359739893,0
12,15610.198840261708,1
12,15930.539473331191,0
13,16027.337896700912,1
13,16027.337896700912,0
14,16563.129907403243,1
14,16563.129907403243,0
15,16725.08697800944,1
15,16725.08697800944,0
16,17144.660876828297,1
16,17144.660876828297,0
17,17160.309860621892,1
17,17176.925561811346,0
18,18475.886983886827,1
18,18475.886983886827,0
19,20421.15941417478,1
19,20421.15941417478,0
20,20448.4857186785,1
20,20454.12778100969,0
21,21008.556870961515,1
21,21008.556870961515,0
22,21770.182250459216,1
22,21770.182250459216,0
23,22065.463933721152,1
23,22065.463933721152,0
24,23420.788060567866,1
24,23420.788060567866,0
25,23528.5624103481,1
25,23533.56895046699,0
26,25404.20962826406,1
26,25404.20962826406,0
27,25482.72577711389,1
27,25806.05112080271,0
28,25839.266397263993,1
28,25839.266397263993,0
29,26639.045917163683,1
29,26639.045917163683,0
30,26844.997230823665,1
30,26844.997230823665,0
31,27475.334969599822,1
31,27475.334969599822,0
32,27778.86138430442,1
32,27778.86138430442,0
33,28275.1453912561,1
33,28275.1453912561,0
34,28594.230788566674,1
34,28594.230788566674,0
35,29984.941091542143,1
35,29984.941091542143,0
36,30321.57359533073,1
36,30321.57359533073,0
37,30396.946656240692,1
37,30421.87823267372,0
38,30491.977035053813,1
38,30539.24208264334,0
39,34077.0822593983,1
39,34077.0822593983,0
40,34398.32444292188,1
40,34398.32444292188,0
41,34915.150553931235,1
41,34915.150553931235,0
42,35557.67994480112,1
42,35557.67994480112,0
43,36349.83867955887,1
43,36349.83867955887,0
44,36516.0501178788,1
44,36516.0501178788,0
45,37368.70934861142,1
45,37368.70934861142,0
46,38297.16794327603,1
46,38297.16794327603,0
47,38912.273586735115,1
47,38912.273586735115,0
48,39906.711750434915,1
48,39906.711750434915,0
49,41131.18204475915,1
49,41131.18204475915,0
50,41531.98988704523,1
50,41531.98988704523,0
51,43318.760681265114,1
51,43318.760681265114,0
52,44681.45152527887,1
52,44681.45152527887,0
53,46997.16835333531,1
53,46997.16835333531,0
54,47122.573773400334,1
54,47122.573773400334,0
55,48452.96907343756,1
55,48452.96907343756,0
56,49622.5655696433,1
56,49622.5655696433,0
57,50826.921141360486,1
57,50826.921141360486,0
58,53494.19586237803,1
58,53494.19586237803,0
59,55520.07664531137,1
59,55520.07664531137,0
60,61715.54824802481,1
60,61715.54824802481,0
61,62242.43365292607,1
61,62242.43365292607,0
62,63638.19750909611,1
62,63638.19750909611,0
63,63876.85645666736,1
63,63876.85645666736,0
64,63985.67028326284,1
64,64155.514299661336,0
65,64247.369048030596,1
65,64247.369048030596,0
66,64819.65288640903,1
66,64819.65288640903,0
67,66365.47357673086,1
67,66365.47357673086,0
68,67135.11054662376,1
68,67135.11054662376,0
69,69146.74699969708,1
69,69146.74699969708,0
70,72036.62823649215,1
70,72036.62823649215,0
71,72264.16582461316,1
71,72264.16582461316,0
72,72299.84921383037,1
72,72318.4637008571,0
73,73418.22984084145,1
73,73418.22984084145,0
74,74910.80790106251,1
74,74910.80790106251,0
75,76126.59843170321,1
75,76126.59843170321,0
76,76886.61790859877,1
76,76886.61790859877,0
77,77382.28138515141,1
77,77382.28138515141,0
78,77857.98462225817,1
78,77857.98462225817,0
79,78089.63921490741,1
79,78089.63921490741,0
80,78267.02697091353,1
80,78267.02697091353,0
81,78485.87139926727,1
81,78485.87139926727,0
82,79220.64996553092,1
82,79220.64996553092,0
83,80277.63473689597,1
83,80277.63473689597,0
84,80355.09022758175,1
84,80355.09022758175,0
85,82405.73325173043,1
85,82405.73325173043,0
86,82855.34056370819,1
86,82855.34056370819,0
87,85708.06967757673,1
87,85708.06967757673,0
88,86200.98035562181,1
88,86200.98035562181,0
89,86933.49152315583,1
89,86933.49152315583,0
90,87080.66486812044,1
90,87080.66486812044,0
91,87125.21809311748,1
91,87162.7666456326,0
92,87504.46271742575,1
92,87504.46271742575,0
93,88615.86122429048,1
93,88615.86122429048,0
94,89325.43603330136,1
94,89325.43603330136,0
95,90804.46857933083,1
95,90804.46857933083,0
96,91074.60754257937,1
96,91074.60754257937,0
97,91325.72497652152,1
97,91325.72497652152,0
98,92456.88093119078,1
98,92456.88093119078,0
99,93791.48514399151,1
99,93791.48514399151,0
100,95258.6447332325,1
100,95258.6447332325,0
101,96543.07318274831,1
101,96543.07318274831,0
102,97465.04094408541,1
102,97465.04094408541,0
103,101273.22500581921,1
