time,density
0,12.400000000000006
1,0.4
2,2.4
3,4.8
4,4.3999999999999995
5,4.8
6,5.6000000000000005
7,7.200000000000002
8,5.2
9,5.6000000000000005
10,8.000000000000002
11,10.400000000000004
12,7.600000000000002
13,13.600000000000007
14,9.600000000000003
15,10.800000000000004
16,12.800000000000006
17,12.400000000000006
18,14.400000000000007
19,14.000000000000007
20,15.200000000000008
21,16.800000000000004
22,12.800000000000006
23,18.0
24,16.800000000000004
25,18.799999999999997
26,18.799999999999997
27,18.799999999999997
28,19.999999999999993
29,16.800000000000004
30,18.0
31,19.199999999999996
32,20.79999999999999
33,18.799999999999997
34,21.19999999999999
35,21.19999999999999
36,21.19999999999999
37,19.999999999999993
38,22.399999999999984
39,19.199999999999996
40,19.599999999999994
41,22.399999999999984
42,22.399999999999984
43,22.799999999999983
44,21.999999999999986
45,24.799999999999976
46,21.599999999999987
47,23.59999999999998
48,23.19999999999998
49,22.799999999999983
50,23.19999999999998
51,21.19999999999999
52,24.399999999999977
53,24.799999999999976
54,22.399999999999984
55,22.399999999999984
56,25.599999999999973
57,24.399999999999977
58,23.19999999999998
59,25.599999999999973
60,23.19999999999998
61,24.399999999999977
62,24.399999999999977
63,24.399999999999977
64,25.199999999999974
65,25.599999999999973
66,24.399999999999977
67,24.399999999999977
68,24.799999999999976
69,24.799999999999976
70,23.99999999999998
71,23.99999999999998
72,23.19999999999998
73,23.59999999999998
74,25.199999999999974
75,21.19999999999999
76,24.799999999999976
77,23.59999999999998
78,22.399999999999984
79,23.59999999999998
80,25.199999999999974
81,23.19999999999998
82,23.59999999999998
83,25.99999999999997
84,23.19999999999998
85,21.599999999999987
86,22.399999999999984
87,24.399999999999977
88,23.19999999999998
89,20.79999999999999
90,22.399999999999984
91,19.999999999999993
92,17.200000000000003
93,19.199999999999996
94,22.399999999999984
95,19.599999999999994
96,21.999999999999986
97,17.6
98,21.19999999999999
99,20.79999999999999
100,21.999999999999986
101,19.199999999999996
102,20.39999999999999
103,21.599999999999987
104,18.4
105,17.6
106,19.999999999999993
107,17.6
108,17.6
109,18.4
110,18.4
111,19.199999999999996
112,16.800000000000004
113,19.599999999999994
114,16.000000000000007
115,19.199999999999996
116,14.400000000000007
117,17.6
118,14.000000000000007
119,18.799999999999997
120,13.200000000000006
121,14.400000000000007
122,16.400000000000006
123,15.600000000000009
124,16.800000000000004
125,14.000000000000007
126,12.400000000000006
127,16.800000000000004
128,12.400000000000006
129,14.400000000000007
130,12.400000000000006
131,12.800000000000006
132,12.000000000000005
133,14.000000000000007
134,12.400000000000006
135,15.200000000000008
136,15.200000000000008
137,10.400000000000004
138,8.800000000000002
139,12.000000000000005
140,14.000000000000007
141,13.600000000000007
142,10.800000000000004
143,6.800000000000002
144,8.800000000000002
145,6.000000000000001
146,12.400000000000006
147,8.400000000000002
148,6.400000000000001
149,11.600000000000005
150,8.400000000000002
151,9.600000000000003
152,11.200000000000005
153,8.800000000000002
154,8.800000000000002
155,6.000000000000001
156,6.400000000000001
157,5.2
158,7.600000000000002
159,8.400000000000002
160,8.000000000000002
161,6.400000000000001
162,6.400000000000001
163,2.8
164,6.800000000000002
165,2.4
166,6.800000000000002
167,5.2
168,3.5999999999999996
169,2.8
170,4.3999999999999995
171,3.9999999999999996
172,3.9999999999999996
173,3.5999999999999996
174,3.1999999999999997
175,0.0
176,1.2000000000000002
177,2.0
178,2.4
179,2.4
180,0.4
181,1.2000000000000002
182,2.0
183,0.0
184,0.0
